金华万达影城(金华店),628635,30.92,37.29
福州中瑞国际影城(红星美凯龙店),810454,23.65,34.59
郑州横店电影城(百盛广场店),561622,24.39,26.51
福州红星太平洋电影城,504370,28.15,41.53
增城万达国际影城(增城店),564839,32.07,42.36
中山金逸影城(中山古镇店),424326,30.37,28.61
无锡万达影城(惠山IMAX店),405939,19.89,37.63
上海UME国际影城(新天地店),522414,40.10,61.95
南通幸福蓝海国际影城(南通IMAX店),695303,39.71,29.50
杭州SFC上影影城(杭州龙湖IMAX店),587211,29.52,39.64
苏州幸福蓝海国际影城(苏州绿宝广场IMAX店),625273,24.67,34.47
天津CGV星星影城(滨海IMAX店),904499,44.26,34.47
南京卢米埃影城(弘阳广场IMAX影城),666441,42.61,31.93
宜兴万达影城(宜兴IMAX店),528281,25.53,41.00
济南百丽宫影城(恒隆广场店),636077,36.76,35.62
哈尔滨万达国际影城(乐松店),529213,33.86,37.57
北京嘉华国际影城(活力东方店),593151,26.76,34.97
哈尔滨泰莱时代影城(激光双机4K-IMAX),801424,30.47,27.42
合肥万达影城(文化旅游城店),294598,15.93,38.23
杭州奥斯卡电影大世界,570245,27.61,36.43
增城大地影院(东汇城店),506121,23.63,29.11
宁波万达国际影城(江北店),484297,21.73,40.74
宜昌宜昌万达广场店,654246,36.78,38.96
保定华隶影城(华创广场店),799372,45.43,30.06
四平万达影城(四平万达广场店),443517,22.95,37.37
济南万达影城(经四路店),553063,28.28,38.13
常州幸福蓝海国际影城(九洲新世界店),674529,39.72,30.92
上海SFC上影影城(美罗城店),635291,67.33,51.19
苏州苏州耀莱成龙国际影城(金门店),282904,11.65,29.45
北京博纳国际影城(悠唐店),575083,34.29,53.73
广州大地影院(奥体高德美居店),451230,28.48,32.99
营口万达影城(万达广场店),485450,24.24,33.72
宁德万达影城(宁德店),653396,30.63,37.45
喀什地区奥都影城,68569,7.09,31.25
威海乐天影城(威高广场店),564494,40.05,33.10
成都万达影城(青羊万达广场店),564415,21.94,37.17
沈阳万达国际影城(奥体店),697854,33.23,36.67
济南鲁信影城(和谐广场店),638206,35.11,35.98
绵阳博纳国际影城(凯德广场店),693160,38.95,30.47
长沙中影国际影城(雨花凯德广场店),590850,38.73,34.88
保定北国金棕榈先天下国际影城(保定店),752233,33.79,28.08
哈尔滨华谊兄弟影院(群力店),498121,30.64,28.25
上海百美汇影城(嘉里中心店),581732,52.60,62.56
沈阳CGV影城(中街盾安新一城店 ),655263,36.92,33.17
天津中影国际影城(天津西青永旺店),824677,47.46,30.13
上海中影国际影城(川沙店),539890,48.16,33.36
武汉CGV影城(光谷IMAX店),662150,32.36,29.55
深圳南国艺恒国际影城(坂田店),439550,21.50,33.77
福州中瑞国际影城(三坊七巷店),729321,19.08,34.36
宁波保利国际影城(天一店),670323,38.19,30.94
绍兴卢米埃影城(银泰IMAX影城),611109,29.30,39.78
吴江红旗影剧院,580910,29.24,31.75
大连万达国际影城(和平店),738296,32.14,35.03
广州中影凤凰影城(龙归店),441081,29.38,34.81
上海保利国际影城(宝龙广场店),474881,27.40,35.48
长沙万达影城(光魔酷映店),471516,23.41,37.35
杭州中影国际影城(杭州永旺店),659142,41.35,31.42
西安CGV影城(印象城IMAX店),676643,41.51,31.15
乌鲁木齐新疆人民剧场(南门),378978,18.58,33.02
合肥华谊兄弟影院(金源店),546768,30.13,30.96
内江万达影城(万达广场店),517184,26.44,35.49
石狮石狮万达影城世茂广场店IMAX,307539,16.98,39.68
长沙万达影城(梅溪湖步步高店),503454,22.30,37.97
武汉耀莱成龙国际影城(光谷国际广场店),548210,39.21,27.77
广州华影万晟国际影城,664540,24.87,31.49
襄阳襄阳万达广场店,532855,28.65,34.15
邢台中都金棕榈影城(北国店),553235,28.57,30.31
深圳大地影院(宏发大世界店),316804,27.01,28.08
上海万裕国际影城(淮海店),653051,73.62,35.93
北京保利国际影城(东坝店),640316,36.31,33.15
重庆耀莱成龙国际影城(南坪店),363433,24.22,29.57
长沙星美国际影商城(悦方店),603162,36.74,30.37
花都星美国际影商城(花都店),641904,34.99,33.05
桂林天籁巨幕影院,675280,35.09,28.35
上海大地影院(南汇乐购影城),494450,20.12,37.09
常州橙天嘉禾影城(吾悦店),583012,28.67,28.63
济南新世纪电影城(泉城路店),549723,20.19,28.19
上海海上明珠国际影城(大宁IMAX店),468417,27.02,48.57
无锡CGV影城(盛岸IMAX店),492588,26.26,34.78
拉萨星美国际影商城(神力店),581219,34.79,45.73
深圳中影星美国际影城(天虹购物中心店),486276,38.23,40.78
苏州橙天嘉禾影城(印象城店),373351,21.83,23.31
江门万达国际影城(万达广场店),500907,23.05,35.02
济南耀莱成龙国际影城(绿地店),357174,30.02,30.75
玉林金逸影城(银丰广场店),754275,48.24,26.37
南京南京耀莱成龙国际影城(板桥店),319419,22.25,30.23
黄石万达国际影城(黄石店),574334,26.70,32.69
昆明保利国际影城(南亚店),657852,38.39,37.63
三亚红树林国际影城,614062,31.24,36.81
北京万达影城(望京保利光魔店),693893,49.84,34.71
广州哈艺时尚影城(海珠赤岗店),628255,37.81,30.49
